full_name,editorial_team_abbr,until
Abraham Toro,SEA,6/10/22
Austin Meadows,DET,6/8/22
Brandon Lowe,TB,6/10/22
Curt Casali,SF,5/30/22
Dylan Carlson,STL,6/10/22
Grayson Rodriguez,BAL,10/5/22
Jack Mayfield,LAA,10/5/22
James McCann,NYM,7/1/22
Jarred Kelenic,SEA,10/5/22
Jason Heyward,CHC,6/10/22
Joey Gallo,NYY,5/30/22
Jose Godoy,MIN,10/5/22
LaMonte Wade Jr.,SF,6/15/22
Manuel Margot,TB,5/25/22
Mark Contreras,MIN,10/5/22
Michael A. Taylor,KC,6/10/22
Nick Ahmed,ARI,6/15/22
Nick Solak,TEX,10/5/22
Nico Hoerner,CHC,5/30/22
Richie Palacios,CLE,10/5/22
Royce Lewis,MIN,10/5/22
Salvador Perez,KC,5/30/22
Tyler O'Neill,STL,6/15/22
Willy Adames,MIL,6/7/22
Yadier Molina,STL,5/27/22
Anthony Rendon,LAA,6/21/22
Austin Slater,SF,6/5/22
Ben Gamel,PIT,6/15/22
Brad Miller,TEX,6/21/22
Carlos Correa,MIN,6/8/22
Chad Wallach,LAA,10/5/22
Colin Moran,CIN,10/5/22
Daniel Vogelbach,PIT,6/8/22
Dominic Smith,NYM,10/5/22
Dylan Cease,CWS,6/5/22
Erik Gonzalez,MIA,10/5/22
Giancarlo Stanton,NYY,6/6/22
Gilberto Celestino,MIN,6/8/22
Hunter Renfroe,MIL,6/3/22
Joe Dunand,MIA,10/5/22
Joe Ryan,MIN,6/5/22
Jonathan Villar,CHC,6/8/22
Josh Donaldson,NYY,6/8/22
Ken Giles,SEA,6/15/22
Kendall Graveman,CWS,6/5/22
Mark Mathias,MIL,10/5/22
Seiya Suzuki,CHC,6/15/22
TJ Friedl,CIN,10/5/22
Tim Anderson,CWS,6/15/22
Travis Demeritte,ATL,10/5/22
Travis Jankowski,NYM,7/15/22
Tyler Nevin,BAL,10/5/22
Vinny Capra,TOR,10/5/22
Wander Franco,TB,6/20/22
Yan Gomes,CHC,6/15/22
Zack Collins,TOR,10/5/22
Darin Ruf,SF,6/10/22
Franmil Reyes,CLE,6/30/22
Joey Wendle,MIA,6/30/22
Yoshi Tsutsugo,PIT,6/21/22
